@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
157,10751,110,3064,977,0.758228,0.989872,0.778212,0.989872,0.221788,0.871373,0.927057,1.067758,0.17
158,10749,112,3052,989,0.755259,0.989688,0.778857,0.989688,0.221143,0.871705,0.926117,1.068642,0.170286
159,10748,113,3052,989,0.755259,0.989596,0.778841,0.989596,0.221159,0.87166,0.92605,1.06862,0.172
160,10745,116,3040,1001,0.752289,0.98932,0.77947,0.98932,0.22053,0.871947,0.925044,1.069484,0.173
161,10745,116,3039,1002,0.752042,0.98932,0.779527,0.98932,0.220473,0.871982,0.924977,1.069562,0.173333
162,10745,116,3038,1003,0.751794,0.98932,0.779584,0.98932,0.220416,0.872018,0.924909,1.069639,0.174
163,10744,117,3028,1013,0.749319,0.989228,0.780134,0.989228,0.219866,0.872326,0.924171,1.070394,0.176
164,10743,118,3018,1023,0.746845,0.989135,0.780685,0.989135,0.219315,0.872634,0.923433,1.07115,0.178
165,10740,121,3011,1030,0.745113,0.988859,0.781034,0.988859,0.218966,0.872745,0.922762,1.07163,0.18
166,10740,121,3002,1039,0.742885,0.988859,0.781546,0.988859,0.218454,0.873064,0.922158,1.072332,0.182
167,10737,124,2991,1050,0.740163,0.988583,0.782124,0.988583,0.217876,0.873317,0.921219,1.073125,0.184
168,10735,126,2981,1060,0.737689,0.988399,0.782663,0.988399,0.217337,0.873581,0.920413,1.073864,0.1846
169,10735,126,2980,1061,0.737441,0.988399,0.78272,0.988399,0.21728,0.873617,0.920346,1.073942,0.186
170,10734,127,2970,1071,0.734967,0.988307,0.783275,0.988307,0.216725,0.873926,0.919608,1.074704,0.1864
171,10734,127,2969,1072,0.734719,0.988307,0.783332,0.988307,0.216668,0.873962,0.919541,1.074783,0.188
172,10732,129,2957,1084,0.73175,0.988123,0.783987,0.988123,0.216013,0.874297,0.918602,1.075681,0.189333
173,10732,129,2956,1085,0.731502,0.988123,0.784044,0.988123,0.215956,0.874333,0.918534,1.07576,0.19
174,10727,134,2948,1093,0.729522,0.987662,0.784424,0.987662,0.215576,0.874389,0.917662,1.076281,0.191667
175,10727,134,2947,1094,0.729275,0.987662,0.784481,0.987662,0.215519,0.874424,0.917595,1.07636,0.192
176,10722,139,2937,1104,0.7268,0.987202,0.784977,0.987202,0.215023,0.874551,0.916588,1.07704,0.194
177,10721,140,2932,1109,0.725563,0.98711,0.785249,0.98711,0.214751,0.874684,0.916186,1.077412,0.196
178,10720,141,2920,1121,0.722593,0.987018,0.785924,0.987018,0.214076,0.875066,0.915313,1.078339,0.1974
179,10720,141,2919,1122,0.722346,0.987018,0.785981,0.987018,0.214019,0.875102,0.915246,1.078418,0.1975
180,10720,141,2918,1123,0.722098,0.987018,0.786039,0.987018,0.213961,0.875138,0.915179,1.078497,0.19781
181,10720,141,2917,1124,0.721851,0.987018,0.786097,0.987018,0.213903,0.875173,0.915112,1.078576,0.198
182,10717,144,2907,1134,0.719376,0.986742,0.786627,0.986742,0.213373,0.875393,0.91424,1.079303,0.1984
183,10717,144,2906,1135,0.719129,0.986742,0.786684,0.986742,0.213316,0.875429,0.914173,1.079382,0.199333
184,10717,144,2905,1136,0.718881,0.986742,0.786742,0.986742,0.213258,0.875465,0.914105,1.079461,0.2
185,10713,148,2894,1147,0.716159,0.986373,0.787315,0.986373,0.212685,0.875674,0.913099,1.080248,0.200056
186,10713,148,2893,1148,0.715912,0.986373,0.787373,0.986373,0.212627,0.87571,0.913032,1.080327,0.2008
187,10713,148,2892,1149,0.715664,0.986373,0.787431,0.986373,0.212569,0.875746,0.912965,1.080407,0.201333
188,10712,149,2892,1149,0.715664,0.986281,0.787415,0.986281,0.212585,0.8757,0.912898,1.080385,0.201357
189,10712,149,2891,1150,0.715417,0.986281,0.787473,0.986281,0.212527,0.875736,0.91283,1.080465,0.202
190,10710,151,2878,1163,0.7122,0.986097,0.788195,0.986097,0.211805,0.876109,0.911824,1.081456,0.204
