@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
112,3911,130,6786,4075,0.624804,0.96783,0.365617,0.96783,0.634383,0.530737,0.717823,1.348284,0.0359
113,3911,130,6785,4076,0.624712,0.96783,0.365651,0.96783,0.634349,0.530773,0.717756,1.348411,0.036
114,3907,134,6704,4157,0.617254,0.96684,0.368203,0.96684,0.631797,0.533306,0.712052,1.357822,0.0364
115,3907,134,6703,4158,0.617162,0.96684,0.368238,0.96684,0.631762,0.533342,0.711985,1.35795,0.0365
116,3907,134,6702,4159,0.61707,0.96684,0.368272,0.96684,0.631728,0.533379,0.711918,1.358078,0.036667
117,3907,134,6701,4160,0.616978,0.96684,0.368307,0.96684,0.631693,0.533415,0.711851,1.358206,0.0368
118,3907,134,6700,4161,0.616886,0.96684,0.368342,0.96684,0.631658,0.533452,0.711784,1.358334,0.037
119,3907,134,6699,4162,0.616794,0.96684,0.368376,0.96684,0.631624,0.533488,0.711717,1.358462,0.037
120,3907,134,6698,4163,0.616702,0.96684,0.368411,0.96684,0.631589,0.533525,0.711649,1.35859,0.037033
121,3907,134,6697,4164,0.61661,0.96684,0.368446,0.96684,0.631554,0.533561,0.711582,1.358718,0.037467
122,3907,134,6696,4165,0.616518,0.96684,0.368481,0.96684,0.631519,0.533597,0.711515,1.358846,0.037667
123,3907,134,6695,4166,0.616426,0.96684,0.368515,0.96684,0.631485,0.533634,0.711448,1.358975,0.038
124,3901,140,6594,4267,0.607126,0.965355,0.371701,0.965355,0.628299,0.536736,0.704268,1.370721,0.0385
125,3901,140,6593,4268,0.607034,0.965355,0.371736,0.965355,0.628264,0.536773,0.704201,1.370852,0.038667
126,3901,140,6592,4269,0.606942,0.965355,0.371772,0.965355,0.628228,0.53681,0.704134,1.370983,0.039
127,3901,140,6590,4271,0.606758,0.965355,0.371843,0.965355,0.628157,0.536884,0.703999,1.371244,0.039333
128,3901,140,6589,4272,0.606666,0.965355,0.371878,0.965355,0.628122,0.536921,0.703932,1.371375,0.0397
129,3901,140,6588,4273,0.606574,0.965355,0.371913,0.965355,0.628087,0.536958,0.703865,1.371506,0.0398
130,3901,140,6587,4274,0.606482,0.965355,0.371949,0.965355,0.628051,0.536995,0.703798,1.371636,0.04
131,3894,147,6507,4354,0.599116,0.963623,0.374387,0.963623,0.625613,0.53926,0.69796,1.380628,0.040167
132,3894,147,6506,4355,0.599024,0.963623,0.374423,0.963623,0.625577,0.539298,0.697893,1.38076,0.0405
